Nombre d'essieux,ID de péage,Code de péage
135,Sat Aug 14 11:50:01 2021,1583109
136,Wed Aug 18 07:26:20 2021,8808595
137,Thu Aug  5 01:15:16 2021,1841800
138,Sat Jul 31 00:28:44 2021,1825050
139,Fri Aug 13 09:54:01 2021,8490556
140,Thu Jul 29 23:02:42 2021,2549393
141,Wed Aug 11 13:15:55 2021,9636921
142,Thu Aug 19 21:13:57 2021,8899022
143,Thu Aug 19 08:46:24 2021,8112100
144,Thu Jul 29 16:02:19 2021,335366
145,Sat Jul 31 19:32:50 2021,1716955
146,Sat Aug 21 13:56:33 2021,4153555
147,Sat Jul 31 12:55:05 2021,5626263
148,Fri Aug  6 23:05:57 2021,49472
149,Thu Aug  5 15:24:15 2021,2497636
150,Tue Aug  3 19:13:15 2021,7825358
151,Sat Jul 31 11:27:59 2021,6084818
152,Thu Aug 19 18:53:39 2021,5455899
153,Tue Aug 17 22:11:51 2021,1849505
154,Wed Aug 18 19:49:38 2021,6114302
155,Sun Aug 15 12:34:18 2021,8064123
156,Fri Aug  6 19:17:50 2021,538972
157,Fri Jul 30 13:58:53 2021,6869546
158,Mon Aug  2 16:00:33 2021,3766512
159,Fri Aug 20 21:45:41 2021,3528403
160,Fri Aug 20 04:59:50 2021,4380057
161,Sun Aug 15 00:36:59 2021,7876599
162,Fri Aug 13 00:25:06 2021,969619
163,Fri Jul 30 13:42:03 2021,5763049
164,Mon Aug 16 05:46:00 2021,6079402
165,Sun Aug  1 22:59:23 2021,4832816
166,Fri Aug 20 12:19:46 2021,3518759
167,Sat Jul 31 02:42:05 2021,4469770
168,Fri Aug  6 11:25:34 2021,7942552
169,Tue Aug 17 21:17:32 2021,2493747
170,Tue Aug  3 15:31:28 2021,8099060
171,Fri Aug 20 22:50:25 2021,4492765
172,Fri Aug  6 07:45:56 2021,5758058
173,Thu Aug 19 00:24:55 2021,9496559
174,Fri Jul 30 02:24:22 2021,3174341
175,Fri Aug 13 05:55:34 2021,3318165
176,Mon Aug  2 14:28:14 2021,7509515
177,Tue Aug  3 12:47:44 2021,367073
178,Sun Aug  8 09:26:56 2021,8543348
179,Fri Aug 20 04:16:14 2021,4588656
180,Fri Aug 20 04:22:16 2021,9706662
181,Tue Aug 10 03:28:33 2021,3359010
182,Wed Aug 18 11:24:47 2021,7639441
183,Tue Aug  3 08:52:25 2021,9449600
184,Wed Aug 11 06:39:10 2021,7572233
185,Fri Aug 20 03:23:49 2021,7096671
186,Fri Jul 30 23:54:00 2021,6218100
187,Wed Aug 11 07:11:55 2021,9500467
188,Sun Aug 15 20:41:12 2021,2551672
189,Wed Aug 18 18:28:36 2021,4423795
190,Mon Aug  9 07:19:12 2021,1520424
191,Tue Aug 10 16:39:12 2021,5680437
192,Mon Aug  9 02:30:05 2021,1469208
193,Mon Aug  9 06:58:52 2021,9017449
194,Sat Aug  7 03:09:03 2021,9014873
195,Sat Aug  7 21:03:28 2021,6849933
196,Sun Aug  1 00:29:43 2021,1907386
197,Sun Aug  1 01:56:36 2021,5556619
198,Tue Aug 17 00:22:53 2021,8724319
199,Mon Aug  9 08:24:12 2021,4066334
200,Sat Jul 31 19:46:31 2021,1208453
201,Fri Aug  6 18:13:51 2021,8705286
202,Thu Aug 12 00:17:15 2021,758555
203,Tue Aug 10 22:07:00 2021,7388283
204,Sun Aug  8 07:16:20 2021,7589773
205,Wed Aug 18 08:29:07 2021,2316095
206,Tue Aug 10 20:36:42 2021,1847455
207,Fri Aug 13 05:36:53 2021,7707016
208,Sun Aug  1 04:10:44 2021,2616520
209,Sun Aug 15 11:41:43 2021,8332760
210,Mon Aug  9 05:19:02 2021,9677148
211,Wed Aug  4 19:23:36 2021,2695699
212,Fri Aug 20 04:00:27 2021,1836057
213,Wed Aug 18 09:20:33 2021,7980271
214,Sat Jul 31 01:41:58 2021,9166253
215,Mon Aug  2 20:26:27 2021,5966610
216,Tue Aug 10 14:11:13 2021,8273227
217,Tue Aug 17 11:21:41 2021,4772310
218,Thu Aug 12 01:18:11 2021,401226
219,Mon Aug  2 22:30:06 2021,5259884
220,Thu Aug 12 13:20:29 2021,4560546
221,Fri Aug  6 23:10:56 2021,3679257
222,Sun Aug  8 01:28:48 2021,5001460
223,Thu Aug 12 14:26:03 2021,488809
224,Sun Aug 15 16:57:15 2021,4435309
225,Fri Aug  6 17:35:18 2021,9206176
226,Sat Aug  7 03:08:44 2021,5665208
227,Sun Aug  1 05:31:31 2021,3619766
228,Wed Aug 18 09:22:29 2021,8195160
229,Wed Aug  4 05:40:04 2021,689804
230,Mon Aug 16 02:36:38 2021,7671204
231,Fri Aug  6 19:31:40 2021,7549660
232,Mon Aug  2 17:00:36 2021,6999001
233,Thu Aug 12 15:17:57 2021,3470780
234,Sat Aug  7 15:21:43 2021,3321932
235,Mon Aug  9 04:56:23 2021,2993477
236,Fri Aug 13 09:02:27 2021,7137012
237,Mon Aug  2 07:55:35 2021,4425207
238,Sat Aug 14 11:54:16 2021,8906007
239,Sat Jul 31 04:23:09 2021,2613132
240,Mon Aug 16 01:53:03 2021,1351738
241,Sat Aug 14 11:49:22 2021,8845283
242,Wed Aug 18 19:07:34 2021,5207716
243,Mon Aug  9 05:34:28 2021,2593435
244,Sat Aug 14 08:00:30 2021,3194131
245,Sat Aug 14 08:01:53 2021,946473
246,Mon Aug  2 19:28:13 2021,2098761
247,Wed Aug 11 02:53:00 2021,7556070
248,Fri Aug 13 20:51:49 2021,7949412
249,Mon Aug 16 01:15:58 2021,4982057
250,Sun Aug 15 04:10:44 2021,1732371
251,Sun Aug  8 23:50:15 2021,4012995
252,Wed Aug 18 07:43:49 2021,2596237
253,Mon Aug  2 17:51:59 2021,8381319
254,Wed Aug 11 21:55:31 2021,5062265
255,Mon Aug 16 17:16:35 2021,7705983
256,Thu Jul 29 16:35:35 2021,2307979
257,Mon Aug 16 03:21:45 2021,2588561
258,Sun Aug  8 12:39:42 2021,6847371
259,Tue Aug 17 15:39:08 2021,2121085
260,Tue Aug  3 01:37:46 2021,1734512
261,Tue Aug 17 22:18:40 2021,7759834
262,Mon Aug 16 10:41:55 2021,6292412
263,Fri Aug 13 11:00:14 2021,866998
264,Thu Aug 12 23:25:40 2021,9057323
265,Fri Aug  6 03:55:57 2021,8091650
266,Thu Aug  5 23:24:23 2021,2155384
267,Tue Aug  3 06:54:05 2021,1867583
268,Mon Aug 16 07:28:50 2021,2703371
269,Tue Aug  3 20:00:16 2021,8368036
270,Mon Aug 16 07:03:18 2021,3418635
271,Sun Aug 15 16:44:18 2021,301035
272,Thu Aug 12 13:34:54 2021,4648848
273,Fri Aug 13 02:09:10 2021,758078
274,Sat Aug  7 04:50:03 2021,1517284
275,Wed Aug  4 20:38:41 2021,5708944
276,Thu Jul 29 20:17:07 2021,202496
277,Thu Jul 29 19:34:22 2021,6716922
278,Sun Aug  8 03:23:33 2021,5536264
279,Sun Aug  8 07:34:29 2021,2105735
280,Sat Jul 31 12:39:28 2021,8857993
281,Mon Aug  9 15:56:14 2021,514282
282,Fri Aug  6 23:44:18 2021,847307
283,Sat Aug  7 06:42:24 2021,2573891
284,Fri Aug  6 08:07:39 2021,9009917
285,Thu Aug 19 14:34:35 2021,1701415
286,Sat Aug  7 20:38:49 2021,5040531
287,Fri Aug 20 13:15:02 2021,1297862
288,Wed Aug  4 06:15:30 2021,1932822
289,Sat Jul 31 21:51:59 2021,8569313
290,Sun Aug  8 06:33:09 2021,6311114
291,Mon Aug 16 06:11:04 2021,1451546
292,Fri Aug 20 13:36:58 2021,1711676
293,Mon Aug  9 18:51:11 2021,6740804
294,Wed Aug 18 12:19:24 2021,9049528
295,Sun Aug 15 08:30:45 2021,5269094
296,Wed Aug 11 13:15:58 2021,4753661
297,Sat Aug 14 09:06:09 2021,1948111
298,Tue Aug 17 00:00:26 2021,5894664
299,Wed Aug 11 04:51:17 2021,5455717
300,Mon Aug  2 21:43:22 2021,1499647
301,Thu Aug  5 21:50:38 2021,2843245
302,Mon Aug 16 04:30:00 2021,9796603
303,Sun Aug  1 21:21:40 2021,5671860
304,Tue Aug 17 04:20:26 2021,425972
305,Tue Aug 10 07:28:04 2021,7588083
306,Wed Aug  4 03:45:21 2021,4816147
307,Thu Aug 12 06:45:42 2021,461211
308,Fri Jul 30 07:48:58 2021,7091224
309,Sat Aug 14 03:11:57 2021,3540160
310,Sat Aug 21 01:26:42 2021,863358
311,Sat Aug 21 07:49:28 2021,2813269
312,Sun Aug 15 02:47:01 2021,4346673
313,Mon Aug  9 05:22:43 2021,2872850
314,Thu Aug 12 02:39:09 2021,6322565
315,Tue Aug 10 13:58:49 2021,2138116
316,Sat Aug 14 23:05:55 2021,9574626
317,Thu Aug  5 18:17:26 2021,8951022
318,Sat Jul 31 09:29:28 2021,6597551
319,Sun Aug  8 22:50:36 2021,3348298
320,Fri Jul 30 20:45:55 2021,846482
321,Tue Aug  3 11:54:14 2021,6676389
322,Mon Aug  9 16:32:26 2021,5427260
323,Tue Aug 17 07:58:48 2021,1653255
324,Tue Aug 17 19:16:31 2021,2976969
325,Tue Aug 17 10:01:21 2021,2959955
326,Sun Aug  8 13:34:03 2021,8519579
327,Wed Aug  4 13:51:04 2021,340196
328,Sun Aug 15 14:02:51 2021,1959570
329,Tue Aug  3 14:46:46 2021,4214176
330,Sat Aug  7 11:24:50 2021,430612
331,Sat Aug  7 10:02:09 2021,2164841
332,Wed Aug 18 15:40:47 2021,6533535
333,Tue Aug 17 10:44:33 2021,4798571
334,Sun Aug 15 18:22:49 2021,2760594
335,Sat Aug 14 12:31:44 2021,2304313
336,Sat Aug  7 10:52:13 2021,2985337
337,Sat Aug 21 09:14:47 2021,4227039
338,Thu Aug  5 08:01:30 2021,1255970
339,Fri Aug 13 01:03:49 2021,5241924
340,Tue Aug  3 20:43:16 2021,7451832
341,Mon Aug  2 04:45:44 2021,3989343
342,Sat Aug 14 18:14:30 2021,1804267
343,Tue Aug 17 17:11:29 2021,1589440
344,Sat Aug 21 19:27:45 2021,7750582
345,Sun Aug  8 12:34:50 2021,116476
346,Fri Aug 20 07:15:06 2021,2617674
347,Tue Aug 10 21:55:17 2021,4228191
348,Mon Aug  9 14:43:31 2021,109141
349,Wed Aug 11 16:55:19 2021,5065439
350,Sun Aug 22 15:33:59 2021,1852318
351,Tue Aug 17 19:49:02 2021,3191217
352,Fri Aug 20 13:55:39 2021,8036070
353,Thu Jul 29 17:40:36 2021,7270810
354,Sat Jul 31 07:08:17 2021,4800433
355,Sun Aug 15 14:59:08 2021,7600086
356,Mon Aug 16 20:41:37 2021,1308715
357,Thu Aug 19 16:46:20 2021,448292
358,Tue Aug  3 10:52:15 2021,8125706
359,Sat Aug  7 22:39:54 2021,7354020
360,Fri Aug 20 12:45:43 2021,8604614
361,Mon Aug 16 04:34:39 2021,8074052
362,Tue Aug 17 21:02:38 2021,3137291
363,Mon Aug  2 07:57:43 2021,7817055
364,Mon Aug  2 23:55:35 2021,9979009
365,Wed Aug 18 07:46:35 2021,7381741
366,Tue Aug 10 09:53:24 2021,6413555
367,Thu Aug  5 09:24:17 2021,5271350
368,Sat Aug 21 02:13:24 2021,5887331
369,Fri Aug 13 03:38:51 2021,2484968
370,Sun Aug 15 21:25:06 2021,2023578
371,Sat Aug 14 14:44:43 2021,2574839
372,Sat Aug 21 11:27:08 2021,192172
373,Sat Jul 31 09:30:08 2021,1794758
374,Tue Aug  3 14:17:39 2021,254824
375,Sun Aug  8 21:51:35 2021,8317981
376,Wed Aug 11 15:12:48 2021,7578701
377,Thu Aug  5 12:56:57 2021,2555513
378,Tue Aug 17 01:48:59 2021,2119264
379,Sat Aug 21 20:51:46 2021,239988
380,Mon Aug 16 11:08:11 2021,147156
381,Sun Aug  8 18:05:36 2021,6891565
382,Fri Aug  6 20:55:48 2021,4765841
383,Fri Aug  6 10:14:37 2021,9017443
384,Sat Aug 21 21:23:37 2021,8747053
385,Sat Jul 31 03:38:36 2021,839289
386,Sun Aug 15 14:11:42 2021,7212737
387,Sat Jul 31 22:09:56 2021,9707238
388,Mon Aug 16 23:15:11 2021,9288974
389,Fri Jul 30 20:43:48 2021,2130769
390,Tue Aug 10 02:13:35 2021,3651531
391,Sun Aug 22 16:20:32 2021,5066582
392,Sat Aug 21 10:40:29 2021,318251
393,Sat Aug 21 13:30:56 2021,1018828
394,Sun Aug  8 17:03:19 2021,4329135
395,Tue Aug  3 22:42:16 2021,5510586
396,Mon Aug 16 07:20:43 2021,1292686
397,Thu Aug  5 01:52:17 2021,2875806
398,Sat Jul 31 08:15:24 2021,5025963
399,Sat Aug 14 05:27:21 2021,2358436
400,Fri Aug 20 07:33:43 2021,4363896
401,Fri Aug  6 02:08:16 2021,7051510
402,Fri Aug  6 13:29:57 2021,5575517
403,Sat Jul 31 00:10:02 2021,2930078
404,Thu Jul 29 15:14:45 2021,1439079
405,Mon Aug  9 16:59:57 2021,2085626
406,Mon Aug  9 16:41:38 2021,809065
407,Fri Aug  6 06:10:52 2021,4100648
408,Thu Aug 19 11:38:52 2021,9745831
409,Fri Aug  6 03:00:46 2021,7337960
410,Tue Aug 10 15:04:38 2021,3612246
411,Tue Aug 10 19:31:40 2021,8601164
412,Sat Jul 31 15:35:09 2021,6123311
413,Mon Aug  2 08:29:14 2021,3507029
414,Tue Aug  3 10:38:37 2021,1725151
415,Wed Aug 11 11:29:02 2021,8860504
416,Sat Aug  7 22:59:56 2021,2017681
417,Sat Aug  7 23:16:29 2021,8183479
418,Tue Aug 17 02:49:59 2021,8811914
419,Sun Aug 15 00:53:46 2021,9631688
420,Mon Aug  9 02:25:32 2021,8193463
421,Tue Aug  3 19:54:41 2021,1766709
422,Tue Aug 10 08:15:41 2021,4909497
423,Thu Aug 19 16:48:08 2021,7279029
424,Wed Aug 18 14:23:40 2021,4791619
425,Sat Aug  7 09:05:10 2021,8712036
426,Thu Aug 19 04:58:15 2021,4973747
427,Sun Aug  1 04:42:52 2021,2800039
428,Thu Aug  5 14:45:19 2021,9337207
429,Wed Aug 11 06:53:51 2021,9220703
430,Thu Aug 12 03:06:56 2021,5090710
431,Wed Aug 18 01:59:31 2021,9726834
432,Fri Aug 20 20:39:23 2021,8464288
433,Tue Aug 10 07:41:38 2021,2918487
434,Sun Aug  8 15:32:55 2021,6975253
435,Sat Jul 31 05:54:57 2021,873000
436,Thu Aug  5 12:16:13 2021,7144030
437,Wed Aug 18 23:08:31 2021,74751
438,Mon Aug 16 15:31:24 2021,3092624
439,Thu Aug 19 23:08:03 2021,8043044
440,Thu Aug 19 18:40:24 2021,6763315
441,Thu Aug  5 08:14:28 2021,7665718
442,Wed Aug 18 05:43:44 2021,2030697
443,Mon Aug  2 03:52:31 2021,3546362
444,Mon Aug 16 00:20:11 2021,5579622
445,Mon Aug  9 16:40:36 2021,6766212
446,Thu Aug 19 02:55:39 2021,8678822
447,Thu Aug 12 17:06:06 2021,2515206
448,Mon Aug 16 18:09:47 2021,9647104
449,Fri Aug  6 12:07:31 2021,8363585
450,Sat Aug 14 22:43:39 2021,954814
451,Fri Jul 30 15:15:49 2021,3500082
452,Thu Jul 29 22:44:15 2021,4302933
453,Sat Aug 21 11:38:46 2021,1281592
454,Wed Aug 11 09:22:42 2021,1668996
455,Thu Aug 19 19:22:53 2021,2799295
456,Tue Aug 10 12:54:07 2021,155498
457,Sat Aug 21 16:57:14 2021,3127161
458,Thu Aug 19 16:29:39 2021,8415963
459,Thu Aug  5 03:33:30 2021,4507082
460,Fri Aug 13 09:00:36 2021,7935251
461,Wed Aug 11 19:02:46 2021,2868406
462,Mon Aug  2 19:31:03 2021,2337912
463,Mon Aug 16 16:30:43 2021,3881228
464,Wed Aug 11 01:51:46 2021,5263238
465,Sun Aug 15 04:25:10 2021,4571658
466,Thu Aug 19 23:55:54 2021,3017277
467,Sun Aug 22 03:51:32 2021,9879687
468,Fri Aug 13 10:00:03 2021,4056126
469,Thu Aug  5 13:34:50 2021,6201597
470,Tue Aug  3 01:04:46 2021,5063598
471,Sun Aug 15 06:09:40 2021,4666427
472,Sun Aug 15 08:07:00 2021,9169123
473,Sun Aug 22 16:23:05 2021,3521342
474,Fri Jul 30 07:28:31 2021,4997147
475,Tue Aug  3 04:49:32 2021,4334699
476,Sun Aug  1 16:32:40 2021,3896955
477,Sun Aug  1 14:13:06 2021,685502
478,Wed Aug  4 06:20:23 2021,3723750
479,Sun Aug 22 14:50:30 2021,8981107
480,Sun Aug 15 07:08:24 2021,8161215
481,Sat Aug 21 11:14:40 2021,5494532
482,Wed Aug 11 20:32:07 2021,4709167
483,Sun Aug 22 05:19:54 2021,326314
484,Thu Jul 29 14:21:36 2021,256879
485,Fri Jul 30 11:05:14 2021,5763581
486,Tue Aug 17 18:49:46 2021,8131510
487,Mon Aug  9 03:42:43 2021,8025290
488,Fri Jul 30 01:56:01 2021,1988177
489,Sun Aug  8 00:30:25 2021,8145530
490,Tue Aug 10 06:44:29 2021,3562599
491,Tue Aug 17 16:54:51 2021,1916677
492,Wed Aug 18 06:21:04 2021,6726273
493,Wed Aug  4 23:24:38 2021,8523480
494,Thu Aug 19 00:56:38 2021,1631685
495,Sat Aug 14 03:33:50 2021,9252011
496,Sat Aug 21 22:03:13 2021,7300558
497,Wed Aug  4 15:40:58 2021,848840
498,Fri Aug 13 20:46:37 2021,4739032
499,Mon Aug  2 12:44:36 2021,1489777
500,Thu Aug  5 17:09:26 2021,7710222
501,Fri Aug 13 02:03:31 2021,6885916
502,Wed Aug  4 18:50:39 2021,1900389
503,Tue Aug 17 22:35:16 2021,4875056
504,Sat Aug 14 04:09:11 2021,9306326
505,Thu Aug 12 11:53:39 2021,8211013
506,Tue Aug  3 16:42:19 2021,6412488
507,Fri Aug  6 07:58:40 2021,8703705
508,Thu Aug 12 06:47:15 2021,278147
509,Mon Aug 16 12:14:34 2021,960545
510,Wed Aug 18 12:30:35 2021,6056685
511,Wed Aug  4 20:40:31 2021,4273899
512,Sat Aug  7 11:34:45 2021,7485577
513,Mon Aug 16 20:54:00 2021,120233
514,Tue Aug  3 01:50:31 2021,2438318
515,Tue Aug  3 09:35:23 2021,5100664
516,Mon Aug 16 05:42:59 2021,3119836
517,Fri Jul 30 16:54:19 2021,5631034
518,Tue Aug 17 11:29:11 2021,8228986
519,Wed Aug  4 07:19:27 2021,434238
520,Sat Jul 31 15:12:19 2021,7664842
521,Tue Aug  3 13:29:48 2021,7262675
522,Sat Aug 14 01:05:23 2021,9771276
523,Sun Aug 22 08:29:54 2021,9842071
524,Wed Aug  4 04:09:56 2021,1914947
525,Fri Jul 30 17:17:39 2021,1955268
526,Sun Aug  1 07:35:06 2021,5515957
527,Sun Aug 22 09:39:42 2021,8622096
528,Tue Aug 17 07:32:18 2021,8753559
529,Thu Aug 12 01:36:59 2021,3601495
530,Fri Jul 30 14:30:56 2021,2025847
531,Wed Aug  4 05:06:49 2021,9026973
532,Thu Aug 19 16:40:17 2021,4905006
533,Sun Aug  8 06:59:35 2021,3836559
534,Thu Jul 29 11:33:13 2021,280707
535,Fri Aug  6 09:14:44 2021,1636541
536,Fri Jul 30 23:12:08 2021,7979017
537,Fri Aug 13 15:13:57 2021,7543450
538,Sun Aug  8 21:10:36 2021,2205725
539,Wed Aug 11 03:02:20 2021,4863506
540,Sat Aug 14 10:42:45 2021,2456417
541,Sun Aug  1 22:18:45 2021,3298279
542,Sun Aug  1 05:51:52 2021,6406520
543,Tue Aug 10 23:03:49 2021,7381678
544,Thu Jul 29 13:29:37 2021,7377775
545,Fri Jul 30 18:20:15 2021,5957136
546,Sun Aug 15 20:31:58 2021,9491195
547,Wed Aug  4 21:58:50 2021,7578723
548,Wed Aug  4 16:17:42 2021,7567440
549,Mon Aug 16 05:33:09 2021,4296882
550,Wed Aug  4 07:09:08 2021,6011023
551,Tue Aug 17 14:43:54 2021,6498517
552,Wed Aug 11 23:34:57 2021,2421022
553,Tue Aug 17 01:08:43 2021,6247569
554,Sun Aug  8 00:12:08 2021,7335690
555,Sat Aug 21 18:52:48 2021,5557139
556,Thu Aug 12 13:31:35 2021,3606424
557,Tue Aug  3 01:12:48 2021,213742
558,Tue Aug 10 05:50:23 2021,271972
559,Tue Aug  3 04:44:19 2021,8708305
560,Sat Aug 14 16:15:26 2021,5595295
561,Mon Aug  2 08:07:34 2021,4047163
562,Sun Aug  1 00:57:14 2021,7410078
563,Sat Aug 14 05:50:30 2021,799900
564,Thu Aug 12 23:19:11 2021,3628285
565,Mon Aug  2 01:08:32 2021,1238213
566,Wed Aug 18 00:54:22 2021,3114925
567,Wed Aug  4 14:20:15 2021,8007927
568,Fri Aug  6 01:11:44 2021,7112490
569,Thu Aug 19 01:13:28 2021,7937564
570,Fri Aug 13 23:32:55 2021,6811197
571,Sun Aug 15 22:32:37 2021,8837823
572,Wed Aug  4 01:35:34 2021,8370925
573,Fri Jul 30 20:11:56 2021,2912692
574,Tue Aug 10 16:10:19 2021,1704930
575,Thu Aug 19 07:55:38 2021,9828050
576,Thu Jul 29 14:17:48 2021,8691508
577,Mon Aug 16 08:36:18 2021,5350555
578,Thu Aug 12 11:21:14 2021,87473
579,Wed Aug 18 23:24:41 2021,1402344
580,Fri Aug 20 18:01:26 2021,604087
581,Sat Aug  7 05:29:19 2021,9100282
582,Mon Aug 16 09:49:12 2021,2977249
583,Sat Aug  7 03:43:24 2021,100740
584,Sun Aug 15 04:37:00 2021,176275
